,Name,Description
10,Caudovirales,"Caudovirales is an order of viruses known as the tailed bacteriophages (cauda is Latin for ""tail""). Under the Baltimore classification scheme, the Caudovirales are group I viruses as they have double stranded DNA (dsDNA) genomes, which can be anywhere from 18,000 base pairs to 500,000 base pairs in length. The virus particles have a distinct shape; each virion has an icosahedral head that contains the viral genome, and is attached to a flexible tail by a connector protein. The order encompasses a wide range of viruses, many containing genes of similar nucleotide sequence and function. However, some tailed bacteriophage genomes can vary quite significantly in nucleotide sequence, even among the same genus. Due to their characteristic structure and possession of potentially homologous genes, it is believed these bacteriophages possess a common origin.There are 14 families, 73 subfamilies, 927 genera, and 2,814 species in the order. This makes Caudovirales the most populous order among viruses, accounting for approximately 30% of all recognized virus species and nearly half of all virus genera."
11,Coliphage,"A coliphage is a type of bacteriophage that infects coliform bacteria such as Escherichia coli.
Examples include Bacteriophage lambda and Leviviridae."
12,Corticovirus,"Corticovirus is a genus of viruses in the family Corticoviridae. Corticoviruses are bacteriophages; that is, their natural hosts are bacteria. The genus contains two species. The name is derived from Latin cortex, corticis (meaning 'crust' or 'bark'). However, prophages closely related to PM2 are abundant in the genomes of aquatic bacteria, suggesting that the ecological importance of corticoviruses might be underestimated. Bacteriophage PM2 was first described in 1968 after isolation from seawater sampled from the coast of Chile."
13,Corynebacteriophage,"A corynebacteriophage (or just corynephage) is a DNA-containing bacteriophage specific for bacteria of genus Corynebacterium as its host.Corynebacterium diphtheriae virus strain Corynebacterium diphtheriae phage (aka Corynephage β or just β-phage) introduces toxigenicity into strains of Corynebacterium diphtheriae as it encodes diphtheria toxin,
it has subtypes beta c and beta vir.According to proposed taxonomic classification, corynephages β and ω are unclassified members of the genus Lambdavirus, family Siphoviridae.


== References =="
14,CrAssphage,"crAssphage (cross-assembly phage) is a bacteriophage (virus that infects bacteria), discovered in 2014 by computational analysis of human faecal metagenomes and later isolated for the first time in 2018. It infects the human gut symbiont Bacteroides"
15,CTXφ bacteriophage,"The CTXφ bacteriophage is a filamentous bacteriophage. It is a positive-strand DNA virus with single-stranded DNA (ssDNA).
CTXφ infects some strains of Vibrio cholerae, the bacterium that causes cholera. It carries the genes for cholera toxin (CTX), which makes cholera especially virulent. It can carry genes from one V. cholerae strain to another."
16,Cyanophage,"Cyanophages are viruses that infect cyanobacteria, also known as Cyanophyta or blue-green algae. Cyanobacteria are a phylum of bacteria that obtain their energy through the process of photosynthesis. Although cyanobacteria metabolize photoautotrophically like eukaryotic plants, they have prokaryotic cell structure. Cyanophages can be found in both freshwater and marine environments. Marine and freshwater cyanophages have icosahedral heads, which contain double-stranded DNA, attached to a tail by connector proteins. The size of the head and tail vary among species of cyanophages. Cyanophages infect a wide range of cyanobacteria and are key regulators of the cyanobacterial populations in aquatic environments, and may aid in the prevention of cyanobacterial blooms in freshwater and marine ecosystems. These blooms can pose a danger to humans and other animals, particularly in eutrophic freshwater lakes. Infection by these viruses is highly prevalent in cells belonging to Synechococcus spp. in marine environments, where up to 5% of cells belonging to marine cyanobacterial cells have been reported to contain mature phage particles.The first described cyanophage LPP-1, was reported by Safferman and Morris in 1963. Cyanophages are classified within the bacteriophage families Myoviridae (e.g. AS-1, N-1), Podoviridae (e.g. LPP-1) and Siphoviridae (e.g. S-1)."
17,Escherichia virus CC31,"Escherichia virus CC31, formerly known as Enterobacter virus CC31, is a dsDNA bacteriophage of the subfamily Tevenvirinae responsible for infecting the bacteria family of Enterobacteriaceae. It is one of two discovered viruses of the genus Karamvirus, diverging away from the previously discovered T4virus, as a clonal complex (CC). CC31 was first isolated from Escherichia coli B strain S/6/4 and is primarily associated with Escherichia, even though is named after Enterobacter."
18,Escherichia virus T5,"Escherichia virus T5, sometimes called Bacteriophage T5 is a caudal virus within the family Demerecviridae. This bacteriophage specifically infects E. coli bacterial cells and follows a lytic life cycle."
19,Ff phages,"Ff phages (for F specific filamentous phages) is a group of almost identical filamentous phage (genus Inovirus) including phages f1, fd, M13 and ZJ/2, which infect bacteria bearing the F fertility factor.  The virion (virus particle) is a flexible filament measuring about 6 by 900 nm, comprising a cylindrical protein tube protecting a single-stranded circular DNA molecule at its core. The phage codes for only 11 gene products, and is one of the simplest viruses known. It has been widely used to study fundamental aspects of molecular biology. George Smith and Greg Winter used f1 and fd for their work on phage display for which they were awarded a share of the 2018 Nobel Prize in Chemistry. Early experiments on Ff phages used M13 to identify gene functions, and M13 was also developed as a cloning vehicle, so the name M13 is sometimes used as an informal synonym for the whole group of Ff phages."
20,George Eliava Institute,"The George Eliava Institute of Bacteriophage, Microbiology and Virology (aka Tbilisi Institute) has been active since the 1930s in the field of phage therapy, which is used to combat microbial infection (cf. antibiotic-resistant strains)."
21,Hershey–Chase experiment,"The Hershey–Chase experiments were a series of experiments conducted in 1952 by Alfred Hershey and Martha Chase that helped to confirm that DNA is genetic material.  

While DNA had been known to biologists since 1869, many scientists still assumed at the time that proteins carried the information for inheritance because DNA appeared to be an inert molecule, and, since it is located in the nucleus, its role was considered to be phosphorus storage. In their experiments, Hershey and Chase showed that when bacteriophages, which are composed of DNA and protein, infect bacteria, their DNA enters the host bacterial cell, but most of their protein does not. Hershey and Chase and subsequent discoveries all served to prove that DNA is the hereditary material.
Hershey shared the 1969 Nobel Prize in Physiology or Medicine with Max Delbrück and Salvador Luria for their ""discoveries concerning the genetic structure of viruses""."
22,HTVC010P,"HTVC010P is a virus which was discovered by Stephen Giovannoni and colleagues at Oregon State University. The Economist reports that a February 2013 paper in Nature says that ""it probably really is the commonest organism on the planet"".  It is a bacteriophage that infects the extremely abundant bacteria Pelagibacter ubique in the Pelagibacterales order.


== References =="
23,Lactococcus virus P008,"Lactococcus virus P008 is a phage specific to Lactococcus lactis, a lactic acid bacteria used in the first stage of making cheese. P008 and related species are responsible for important loss each year in cheese factories.


== References =="
24,Locus Biosciences,"Locus Biosciences is a clinical-stage pharmaceutical company, founded in 2015 and based in Research Triangle Park, North Carolina which to develop phage therapies based on CRISPR–Cas3 gene editing technology, as opposed to the more commonly used CRISPR-Case9, delivered by engineered bacteriophages.   The intended therapeutic targets are antibiotic-resistant bacterial infections."
25,Lysogen,"A lysogen or lysogenic bacterium is a bacterial cell which can produce and transfer the ability to produce a phage. A prophage is either integrated into the host bacteria's chromosome or more rarely exists as a stable plasmid within the host cell. The prophage expresses gene(s) that repress the phage's lytic action, until this repression is disrupted (see lytic cycle). Currently a variety of studies are being conducted to see whether other genes are active during lysogeny, examples of which include phage-encoded tRNA and virulence genes."
26,Lysogenic cycle,"Lysogeny, or the lysogenic cycle, is one of two cycles of viral reproduction (the lytic cycle being the other). Lysogeny is characterized by integration of the bacteriophage nucleic acid into the host bacterium's genome or formation of a circular replicon in the bacterial cytoplasm. In this condition the bacterium continues to live and reproduce normally, while the bacteriophage lies in a dormant state in the host cell. The genetic material of the bacteriophage, called a prophage, can be transmitted to daughter cells at each subsequent cell division, and later events (such as UV radiation or the presence of certain chemicals) can release it, causing proliferation of new phages via the lytic cycle. Lysogenic cycles can also occur in eukaryotes, although the method of DNA incorporation is not fully understood. For instance the AIDS viruses can either infect humans (or some other primates) lytically, or lay dormant (lysogenic) as part of the infected cells' genome, keeping the ability to return to lysis at a later time. The rest of this article is about lysogeny in bacterial hosts.
The difference between lysogenic and lytic cycles is that, in lysogenic cycles, the spread of the viral DNA occurs through the usual prokaryotic reproduction, whereas a lytic cycle is more immediate in that it results in many copies of the virus being created very quickly and the cell is destroyed. One key difference between the lytic cycle and the lysogenic cycle is that the latter does not lyse the host cell straight away. Phages that replicate only via the lytic cycle are known as virulent phages while phages that replicate using both lytic and lysogenic cycles are known as temperate phages.In the lysogenic cycle, the phage DNA first integrates into the bacterial chromosome to produce the prophage. When the bacterium reproduces, the prophage is also copied and is present in each of the daughter cells. The daughter cells can continue to replicate with the prophage present or the prophage can exit the bacterial chromosome to initiate the lytic cycle. In the lysogenic cycle the host DNA is not hydrolyzed but in the lytic cycle the host DNA is hydrolyzed in the lytic phase."
27,Lytic cycle,"The lytic cycle ( LIT-ik) is one of the two cycles of viral reproduction (referring to bacterial viruses or bacteriophages), the other being the lysogenic cycle. The lytic cycle results in the destruction of the infected cell and its membrane. Bacteriophages that only use the lytic cycle are called virulent phages (in contrast to temperate phages).
In the lytic cycle, the viral DNA exists as a separate free floating molecule within the bacterial cell, and replicates separately from the host bacterial DNA, whereas in the lysogenic cycle, the viral DNA is located within the host DNA. This is the key difference between the lytic and lysogenic (bacterio)phage cycles. However, in both cases the virus/phage replicates using the host DNA machinery."
28,Microviridae,"Microviridae is a family of bacteriophages with a single-stranded DNA genome. The name of this family is derived from the ancient Greek word μικρός (mikrós), meaning ""small"". This refers to the size of their genomes, which are among the smallest of the DNA viruses. Enterobacteria, intracellular parasitic bacteria, and spiroplasma serve as natural hosts. There are 22 species in this family, divided among seven genera and two subfamilies."
29,Moron (bacteriophage),"A moron, in the context of bacteriophage genetics, is an extra gene in a prophage genome without a function in the phage's lysogenic cycle. These genes may code for products beneficial to the phage's bacterial host, as with the example of gp15 of phage HK97 serving as a superinfection exclusion protein. The term moron comes from the notion that the additional genes mean that these bacteriophage genomes have ""more on"" them.


== References =="
30,Multiplicity of infection,"In microbiology, the multiplicity of infection or MOI is the ratio of agents (e.g. phage or more generally virus, bacteria) to infection targets (e.g. cell). For example, when referring to a group of cells inoculated with virus particles, the multiplicity of infection or MOI is the ratio of the number of virus particles to the number of target cells present in a defined space."
31,OBPgp279,"OBPgp279 (OBP genome protein 279) is an endolysin that hydrolyzes peptidoglycan, a major constituent in bacterial membrane. OBPgp279 is found in Pseudomonas fluorescens phage OBP, which belongs in the Myoviridae family of bacteriophages. Because of its role in hydrolyzing the peptidoglycan layer, OBPgp279 is a key enzyme in the lytic cycle of the OBP bacteriophage; it allows the bacteriophage to lyse its host internally to escape. Unlike other endolysins, OBPgp279 does not rely on holins to perforate the inner bacterial membrane in order to reach the peptidoglycan layer.  Although OBPgp279 is not a well-studied enzyme, it has garnered interest as a potential antibacterial protein due to its activity against multidrug-resistant gram-negative bacteria."
32,P1-derived artificial chromosome,"A P1-derived artificial chromosome, or PAC, is a DNA construct derived from the DNA of P1 bacteriophages and Bacterial artificial chromosome. It can carry large amounts (about 100–300 kilobases) of other sequences for a variety of bioengineering purposes in bacteria. It is one type of the efficient cloning vector used to clone DNA fragments (100- to 300-kb insert size; average,150 kb) in Escherichia coli cells."
33,Phage display,"Phage display is a laboratory technique for the study of protein–protein, protein–peptide, and protein–DNA interactions that uses bacteriophages (viruses that infect bacteria) to connect proteins with the genetic information that encodes them. In this technique, a gene encoding a protein of interest is inserted into a phage coat protein gene, causing the phage to ""display"" the protein on its outside while containing the gene for the protein on its inside, resulting in a connection between genotype and phenotype. These displaying phages can then be screened against other proteins, peptides or DNA sequences, in order to detect interaction between the displayed protein and those other molecules. In this way, large libraries of proteins can be screened and amplified in a process called in vitro selection, which is analogous to natural selection.
The most common bacteriophages used in phage display are M13 and fd filamentous phage, though T4, T7, and λ phage have also been used."
34,Phage ecology,"Bacteriophages (phages), potentially the most numerous ""organisms"" on Earth, are the viruses of bacteria (more generally, of prokaryotes). Phage ecology is the study of the interaction of bacteriophages with their environments."
35,Phage monographs,"Bacteriophage (phage) are viruses of bacteria and arguably are the most numerous ""organisms"" on Earth. The history of phage study is captured, in part, in the books published on the topic. This is a list of over 100 monographs on or related to phages."
36,Phage therapy,"Phage therapy, viral phage therapy, or phagotherapy is the therapeutic use of bacteriophages for the treatment of pathogenic bacterial infections. This therapeutic approach emerged at the beginning of the 20th century but was progressively replaced by the use of antibiotics in most parts of the world after the second world war. Bacteriophages, known as phages, are a form of virus that attach to bacterial cells, and inject their  genome into the cell. The viral genome effectively replaces the bacterial genome, halting the bacterial infection. The bacterial cell causing the infection is unable to reproduce, and instead produces additional phages. Phages are very selective in the strains of bacteria they are effective against.Advantages include reduced side-effects and reduced risk of the bacterium developing resistance since  bacteriophages are much more specific than antibiotics. They are typically harmless not only to the host organism but also to other beneficial bacteria, such as the gut microbiota, reducing the chances of opportunistic infections. They have a high therapeutic index, that is, phage therapy would be expected to give rise to few side effects, even at higher-than-therapeutic levels. Because phages replicate in vivo (in cells of living organism), a smaller effective dose can be used.Disadvantages include the difficulty of finding an effective phage for a particular infection: a phage will kill a bacterium only if it matches the specific strain. However, virulent phages can be isolated much more easily than other compounds and natural products. Consequently, phage mixtures (""cocktails"") are sometimes used to improve the chances of success. Alternatively, samples taken from recovering patients sometimes contain appropriate phages that can be grown to cure other patients infected with the same strain. Ongoing challenges include the need to increase phage collections from reference phage banks, the development of efficient phage screening methods for the fast identification of the therapeutic phage(s), the establishment of efficient phage therapy strategies to tackle infectious biofilms, the validation of feasible phage production protocols that assure quality and safety of phage preparations, and the guarantee of stability of phage preparations during manufacturing, storage and transport.
Phages tend to be more successful than antibiotics where there is a biofilm covered by a polysaccharide layer, which antibiotics typically cannot penetrate. However, the interactions between phages and biofilms can be complex, with phages developing symbiotic as well as predatory relationships with biofilms.Phages are currently being used therapeutically to treat bacterial infections that do not respond to conventional antibiotics, particularly in Russia and Georgia. There is also a phage therapy unit in Wrocław, Poland, established in 2005, which continues several decades long research of the Institute of Immunology and Experimental Therapy of the Polish Academy of Sciences, the only such centre in a European Union country. Phages are the subject of renewed clinical attention in western countries, such as the United States. In 2019, the United States Food and Drug Administration approved the first US clinical trial for intravenous phage therapy.Phage therapy has many potential applications in human medicine as well as dentistry, veterinary science, and agriculture. If the target host of a phage therapy treatment is not an animal, the term ""biocontrol"" (as in phage-mediated biocontrol of bacteria) is usually employed, rather than ""phage therapy""."
37,Phagoburn,"Phagoburn was a European Union-financed phase I/II clinical study focused on testing the medical uses of bacteriophage for treating wounds that ran from 2013 to 2017. The main objective of Phagoburn was to assess the safety, effectiveness and pharmacodynamics of two therapeutic phage cocktails to treat Escherichia coli and Pseudomonas aeruginosa burn wound infections. Pherecydes Pharma was the main sponsor.The trial was performed in nine hospitals in France and Belgium. A total of 27 patients was included, with 13 randomised to receive phage therapy and the remainder standard treatment. The trial was terminated early because the phage therapy proved less effective than standard treatment at reducing the number of bacteria. The authors concluded that the low concentration of phage tested was insufficient. The primary cause of a lower than expected phage concentration was due to storage instability of the bacteriophages used in the cocktail."
38,Plasmaviridae,"Plasmaviridae is a family of bacteria-infecting viruses. Acholeplasma species serve as natural hosts. There is one genus in the family, Plasmavirus, which contains one species: Acholeplasma virus L2. All viruses known in this family have been isolated from species in the class Mollicutes.
This family is poorly studied and little is known about the diversity and biology of these viruses."
39,Polyphage,"For the dietary behaviour term, see polyphagy.Polyphage are genomic multimers of bacteriophage in which multiple viral particles are all encapsulated, one after the other, within the same set of coat proteins.  This phenomenon is characteristic of filamentous phage.


== References =="
40,Prohead,"A prohead or procapsid is an immature viral capsid structure formed in the early stages of self-assembly of some bacteriophages, including the Caudovirales or tailed bacteriophages.  Production and assembly of stable proheads is an essential precursor to bacteriophage genome packaging; this packaging activity can be replicated in vitro.   The prohead structure may take a different shape from the head of a mature virion, as seen with the prohead of Bacillus subtilis phage φ29.


== References =="
41,Prophage,"A prophage is a bacteriophage (often shortened to ""phage"") genome that is integrated into the circular bacterial chromosome or exists as an extrachromosomal plasmid within the bacterial cell. Integration of prophages into the bacterial host is the characteristic step of the lysogenic cycle of temperate phages. Prophages remain latent in the genome through multiple cell divisions until activation by an external factor, such as UV light, leading to production of new phage particles that will lyse the cell and spread. As ubiquitous mobile genetic elements, prophages play important roles in bacterial genetics and evolution, such as in the acquisition of virulence factors."
42,Pseudomonas virus gh1,"Pseudomonas virus gh1 (Bacteriophage gh-1) is a bacteriophage capable of infecting susceptible strains of Pseudomonas putida. It is a member of family Podoviridae, subfamily Autographivirinae. It was first isolated in 1966 from a sample taken from the aeration tank at a sewage plant in East Lansing, Michigan.
Sedimentation analysis indicates that gh-1 carries its genetic payload in the form of a 37,359 bp linear strand of dsDNA, inside an icosahedronal capsid 50 nm in diameter.One-step growth experiments indicate that the latent period is approximately 21 min, with a burst size of 103.It has been shown that this phage group requires an intact O-antigen on its host's outer membrane in order to successfully replicate and it is thus likely that lipopolysaccharide acts as the phage receptor."
43,Restriction modification system,"The restriction modification system (RM system) is found in bacteria and other prokaryotic organisms, and provides a defense against foreign DNA, such as that borne by bacteriophages.
Bacteria have restriction enzymes, also called restriction endonucleases, which cleave double stranded DNA at specific points into fragments, which are then degraded further by other endonucleases. This prevents infection by effectively destroying the foreign DNA introduced by an infectious agent (such as a bacteriophage). Approximately one-quarter of known bacteria possess RM systems and of those about one-half have more than one type of system.
As the sequences recognized by the restriction enzymes are very short, the bacterium itself will almost certainly contain some within its genome. In order to prevent destruction of its own DNA by the restriction enzymes, methyl groups are added. These modifications must not interfere with the DNA base-pairing, and therefore, usually only a few specific bases are modified on each strand.
Endonucleases cleave internal/non-terminal phosphodiester bonds. They do so only after recognising specific sequences in DNA which are usually 4-6 base pairs long, and often palindromic."
44,Staphylococcus virus G1,"Staphylococcus virus G1 is a virus of the family Herelleviridae, genus Kayvirus.As a member of the group I of the Baltimore classification, Staphylococcus virus G1 is a dsDNA virus. All the family Herelleviridae members share a nonenveloped morphology consisting of a head and a tail separated by a neck. Its genome is linear. The propagation of the virions includes the attaching to a host cell (a bacterium, as Staphylococcus virus G1 is a bacteriophage) and the injection of the double stranded DNA; the host transcribes and translates it to manufacture new particles. To replicate its genetic content requires host cell DNA polymerases and, hence, the process is highly dependent on the cell cycle.The Gp67 protein of G1 has been found to interact with its host's RNA polymerase though an interaction with a sigma factor.The phage contains a genome of 138,715 base pairs with a 30.4% of GC content and 214 predicted genes; this means that the 88.5% of the DNA is coding open reading frames, and therefore the gene density (the number of genes per kilobase) is 1.54.


== References =="
45,Streptomyces phage Φ0,"Streptomyces phage Φ0 is a bacteriophage that infects Streptomyces. It was discovered in 2016. The bacteriophage contains a double-stranded RNA genome and probably belongs to the Cystoviridae family.


== References =="
46,T4 rII system,"The T4 rII system is an experimental system developed in the 1950s by Seymour Benzer for studying the substructure of the gene.  The experimental system is based on genetic crosses of different mutant strains of bacteriophage T4, a virus that infects the bacteria E. coli."
47,Tectivirus,"Tectiviridae is a family of viruses with 10 species in five genera. Bacteria serve as natural hosts. Tectiviruses have no head-tail structure, but are capable of producing tail-like tubes of ~ 60×10 nm upon adsorption or after chloroform treatment. The name is derived from Latin tectus (meaning 'covered')."
48,Temperateness (virology),"In virology, temperate refers to the ability of some bacteriophages (notably coliphage λ) to display a lysogenic life cycle. Many (but not all) temperate phages can integrate their genomes into their host bacterium's chromosome, together becoming a lysogen as the phage genome becomes a prophage. A temperate phage is also able to undergo a productive, typically lytic life cycle, where the prophage is expressed, replicates the phage genome, and produces phage progeny, which then leave the bacterium.  With phage the term virulent is often used as an antonym to temperate, but more strictly a virulent phage is one that has lost its ability to display lysogeny through mutation rather than a phage lineage with no genetic potential to ever display lysogeny (which more properly would be described as an obligately lytic phage)."
49,Transduction (genetics),"Transduction is the process by which foreign DNA is introduced into a cell by a virus or viral vector. An example is the viral transfer of DNA from one bacterium to another and hence an example of horizontal gene transfer. Transduction does not require physical contact between the cell donating the DNA and the cell receiving the DNA (which occurs in conjugation), and it is DNase resistant (transformation is susceptible to DNase). Transduction is a common tool used by molecular biologists to stably introduce a foreign gene into a host cell's genome (both bacterial and mammalian cells)."
50,Viral plaque,"A viral plaque is a visible structure formed after introducing a viral sample to a cell culture grown on some nutrient medium. The virus will replicate and spread, generating regions of cell destruction known as plaques. For example, Vero cell or other tissue cultures may be used to investigate an influenza virus or coronavirus, while various bacterial cultures would be used for bacteriophages.
Counting the number of plaques can be used as a method of virus quantification. These plaques can sometimes be detected visually using colony counters, in much the same way as bacterial colonies are counted; however, they are not always visible to the naked eye, and  sometimes can only be seen through a microscope, or using techniques such as staining (e.g. neutral red for eukaryotes or giemsa for bacteria)  or immunofluorescence. Special computer systems have been designed with the ability to scan samples in batches.

The appearance of the plaque depends on the host strain, virus and the conditions. Highly virulent or lytic strains create plaques that look clear (due to total cell destruction), while strains that only kill a fraction of their hosts (due to partial resistance/lysogeny), or only reduce the rate of cell growth, give turbid plaques. Some partially lysogenic phages give bull's-eye plaques with spots or rings of growth in the middle of clear regions of complete lysis."
51,Viral shunt,"The viral shunt  is a mechanism that prevents  marine microbial particulate organic matter (POM) from migrating up trophic levels by recycling them into dissolved organic matter (DOM), which can be readily taken up by microorganisms. The DOM recycled by the viral shunt pathway is comparable to the amount generated by the other main sources of marine DOM.Viruses can easily infect microorganisms in the microbial loop due to their relative abundance compared to microbes. Prokaryotic and eukaryotic mortality contribute to carbon nutrient recycling through cell lysis. There is evidence as well of nitrogen (specifically ammonium) regeneration. This nutrient recycling helps stimulates microbial growth. As much as 25% of the primary production from phytoplankton in the global oceans may be recycled within the microbial loop through the viral shunt."
52,Auxiliary metabolic genes,"Auxiliary metabolic genes (AMGs) are found in many bacteriophages but originated in bacterial cells. AMGs modulate host cell metabolism during infection so that the phage can replicate more efficiently. For instance, bacteriophages that infect the abundant marine cyanobacteria Synechococcus and Prochlorococcus (cyanophages) carry AMGs that have been acquired from their immediate host as well as more distantly-related bacteria. Cyanophage AMGs support a variety of functions including photosynthesis, carbon metabolism, nucleic acid synthesis and metabolism.


== References =="
53,WO virus,"WO virus is bacteriophage virus that infects bacteria of the genus Wolbachia, which it is named after. This virus is notable for carrying DNA related to the black widow spider toxin gene, becoming an example of a bacteriophage with animal-like DNA, implying DNA transfers between eukaryotes and bacteriophages.


== References =="
