,Name,Description
10,Bacillus licheniformis,"Bacillus licheniformis is a bacterium commonly found in the soil. It is found on bird feathers, especially chest and back plumage, and most often in ground-dwelling birds (like sparrows) and aquatic species (like ducks).
It is a gram-positive, mesophilic bacterium. Its optimal growth temperature is around 50 °C, though it can survive at much higher temperatures. The optimal temperature for enzyme secretion is 37 °C. It can exist in a dormant spore form to resist harsh environments, or in a vegetative state when conditions are good.
High capacity of secretion of the alkaline serine protease has made B. licheniformis one of the most important  bacteria in industrial enzyme production.  Subtilisin Carlsberg (P00780) secreted by B. licheniformis is used as a detergent protease. It is sold under the name Alcalase by Novozymes. A small antisense RNA against Subtilisin Carlsberg named BLi_r0872 was  discovered in an RNA-seq based study. It may have a putative impact on protease production and serve as target for strain improvement.Scientists are currently exploring its ability to degrade feathers for agricultural purposes. Feathers contain high amounts of non-digestible proteins, but researchers hope that, through fermentation with B. licheniformis, they can use waste feathers to produce cheap and nutritious feather meal to feed livestock.
Ecological research is also being done looking at the interaction between plumage colors and B. licheniformis activity, and the consequences thereof. Feather degrading bacteria may have played an important role in the evolution of molting, and patterns in feather coloration (Gloger's Rule)."
11,Bacillus megaterium,"Bacillus megaterium is a rod-like, Gram-positive, mainly aerobic spore forming bacterium found in widely diverse habitats. With a cell length of up to 4 µm and a diameter of 1.5 µm, B. megaterium is amongst the biggest known bacteria. The cells often occur in pairs and chains, where the cells are joined together by polysaccharides on the cell walls.
In the 1960s, prior to the utilization of Bacillus subtilis for this purpose, B. megaterium was the main model organism among Gram-positive bacteria for intensive studies on biochemistry, sporulation and bacteriophages. Recently, its popularity has started increasing in the field of biotechnology for its recombinant protein production capacity.This species has been recently transferred into the genus Priestia. The correct nomenclature is Priestia megaterium."
12,Bacillus mycoides,"Bacillus mycoides is a bacterium of the genus Bacillus. Like other Bacillus species, B. mycoides is Gram positive, rod-shaped, and forms spores. B. mycoides is distinguished from other Bacillus species by its unusual growth on agar plates, where it forms expansive hairy colonies with characteristic swirls."
13,Bacillus subtilis,"Bacillus subtilis, known also as the hay bacillus or grass bacillus, is a Gram-positive, catalase-positive bacterium, found in soil and the gastrointestinal tract of ruminants, humans and marine sponges. As a member of the genus Bacillus, B. subtilis is rod-shaped, and can form a tough, protective endospore, allowing it to tolerate extreme environmental conditions. B. subtilis has historically been classified as an obligate aerobe, though evidence exists that it is a facultative anaerobe. B. subtilis is considered the best studied Gram-positive bacterium and a model organism to study bacterial chromosome replication and cell differentiation. It is one of the bacterial champions in secreted enzyme production and used on an industrial scale by biotechnology companies."
14,Bacillus thuringiensis,"Bacillus thuringiensis (or Bt) is a Gram-positive, soil-dwelling bacterium, the most commonly used biological pesticide worldwide. B. thuringiensis also occurs naturally in the gut of caterpillars of various types of moths and butterflies, as well on leaf surfaces, aquatic environments, animal feces, insect-rich environments, and flour mills and grain-storage facilities. It has also been observed to parasitize other moths such as Cadra calidella—in laboratory experiments working with C. calidella, many of the moths were diseased due to this parasite.During sporulation, many Bt strains produce crystal proteins (proteinaceous inclusions), called delta endotoxins, that have insecticidal action. This has led to their use as insecticides, and more recently to genetically modified crops using Bt genes, such as Bt corn. Many crystal-producing Bt strains, though, do not have insecticidal properties. The subspecies israelensis is commonly used for control of mosquitoes and of fungus gnats.As a toxic mechanism, cry proteins bind to specific receptors on the membranes of mid-gut (epithelial) cells of the targeted pests, resulting in their rupture. Other organisms (including humans, other animals and non-targeted insects) that lack the appropriate receptors in their gut cannot be affected by the cry protein, and therefore are not affected by Bt."
15,Bacteroides,"Bacteroides is a genus of Gram-negative, obligate anaerobic bacteria. Bacteroides species are non endospore-forming bacilli, and may be either motile or nonmotile, depending on the species. The DNA base composition is 40–48% GC. Unusual in bacterial organisms, Bacteroides membranes contain sphingolipids. They also contain meso-diaminopimelic acid in their peptidoglycan layer.
Bacteroides species are normally mutualistic, making up the most substantial portion of the mammalian gastrointestinal microbiota, where they play a fundamental role in processing of complex molecules to simpler ones in the host intestine. As many as 1010–1011 cells per gram of human feces have been reported. They can use simple sugars when available; however, the main sources of energy for Bacteroides species in the gut are complex host-derived and plant glycans.  Studies indicate that long-term diet is strongly associated with the gut microbiome composition—those who eat plenty of protein and animal fats have predominantly Bacteroides bacteria, while for those who consume more carbohydrates the Prevotella species dominate.One of the most important clinically is Bacteroides fragilis.
Bacteroides melaninogenicus has recently been reclassified and split into Prevotella melaninogenica and Prevotella intermedia."
16,Bacteroides fragilis,"Bacteroides fragilis is an anaerobic, Gram-negative, pleomorphic to rod-shaped bacterium. It is part of the normal microbiota of the human colon and is generally commensal, but can cause infection if displaced into the bloodstream or surrounding tissue following surgery, disease, or trauma."
17,Porphyromonas gingivalis,"Porphyromonas gingivalis belongs to the phylum Bacteroidota and is a nonmotile, Gram-negative, rod-shaped, anaerobic, pathogenic bacterium. It forms black colonies on blood agar.
It is found in the oral cavity, where it is implicated in periodontal disease, as well as in the upper gastrointestinal tract, the respiratory tract and the colon. It has been isolated from women with bacterial vaginosis.Collagen degradation observed in chronic periodontal disease results in part from the collagenase enzymes of this species. It has been shown in an in vitro study that P. gingivalis can invade human gingival fibroblasts and can survive in the presence of antibiotics. P. gingivalis invades gingival epithelial cells in high numbers, in which case both bacteria and epithelial cells survive for extended periods of time. High levels of specific antibodies can be detected in patients harboring P. gingivalis.
P. gingivalis infection has been linked to Alzheimer's disease and rheumatoid arthritis. It contains the enzyme peptidyl-arginine deiminase, which is involved in citrullination. Patients with rheumatoid arthritis have increased incidence of periodontal disease; antibodies against the bacterium are significantly more common in these patients.P. gingivalis is divided into K-serotypes based upon capsular antigenicity of the various types. These serotypes have been the drivers of observations regarding bacterial cell to cell interactions to the associated serotype-dependent immune response and risk with pancreatic cancer."
18,Bartonella,"Bartonella is a genus of Gram-negative bacteria. It is the only genus in the family Bartonellaceae. Facultative intracellular parasites, Bartonella species can infect healthy people, but are considered especially important as opportunistic pathogens. Bartonella species are transmitted by vectors such as ticks, fleas, sand flies, and mosquitoes. At least eight Bartonella species or subspecies are known to infect humans.Bartonella henselae is the organism responsible for cat scratch disease."
19,Bartonella henselae,"Bartonella henselae, formerly Rochalimæa henselae, is a proteobacterium that is the causative agent of cat-scratch disease (bartonellosis).
Bartonella henselae is a member of the genus Bartonella, one of the most common types of bacteria in the world. It is a facultative intracellular microbe that targets red blood cells. One study showed it invaded the mature blood cells of humans. It infects the host cell by sticking to it using trimeric autotransporter adhesins.   In the United States, about 22,000 people(per year?)are diagnosed, most under the age of 20. Most often, it is transmitted from kittens."
20,Bartonella quintana,"Bartonella quintana, originally known as Rochalimaea quintana, and ""Rickettsia quintana"", is a bacterium transmitted by the human body louse that causes trench fever. This bacterial species caused outbreaks of trench fever affecting 1 million soldiers in Europe during World War I."
21,Bordetella,"Bordetella () is a genus of small (0.2 – 0.7 µm), gram-negative coccobacilli of the phylum Proteobacteria. Bordetella species, with the exception of B. petrii, are obligate aerobes, as well as highly fastidious, or difficult to culture. All species can infect humans. The first three species to be described (B. pertussis, B. parapertussis, B. bronchiseptica); are sometimes referred to as the 'classical species'. Two of these (B. bronchiseptica and B. pertussis) are also motile.B. pertussis and occasionally B. parapertussis cause pertussis or whooping cough in humans, and some B. parapertussis strains can colonise sheep. B. bronchiseptica rarely infects healthy humans, though disease in immunocompromised patients has been reported. B. bronchiseptica causes several diseases in other mammals, including kennel cough and atrophic rhinitis in dogs and pigs, respectively. Other members of the genus cause similar diseases in other mammals, and in birds (B. hinzii, B. avium).
The genus Bordetella is named after Jules Bordet."
22,Bordetella bronchiseptica,"Bordetella bronchiseptica is a small, gram-negative, rod-shaped bacterium of the genus Bordetella. It can cause infectious bronchitis in dogs and other animals, but rarely infects humans. Closely related to B. pertussis—the obligate human pathogen that causes pertussis (whooping cough); B. bronchiseptica can persist in the environment for extended periods."
23,Bordetella pertussis,"Bordetella pertussis is a Gram-negative, aerobic, pathogenic, encapsulated coccobacillus of the genus Bordetella, and the causative agent of pertussis or whooping cough. Like B. bronchiseptica, B. pertussis is motile and expresses a flagellum-like structure. Its virulence factors include pertussis toxin, adenylate cyclase toxin, filamentous hæmagglutinin, pertactin, fimbria, and tracheal cytotoxin.
The bacterium is spread by airborne droplets; its incubation period is 7–10 days on average (range 6–20 days).  Humans are the only known reservoir for B. pertussis. The complete B. pertussis genome of 4,086,186 base pairs was published in 2003. Compared to its closest relative B. bronchiseptica, the genome size is greatly reduced. This is mainly due to the adaptation to one host species (human) and the loss of capability of survival outside of a host body."
24,Borrelia burgdorferi,"Borrelia burgdorferi is a bacterial species of the spirochete class in the genus Borrelia, and is one of the causative agents of Lyme disease in humans. Along with a few similar genospecies, some of which also cause Lyme disease, it makes up the species complex of Borrelia burgdorferi sensu lato. The complex currently comprises 20 accepted and 3 proposed genospecies. B. burgdorferi sensu stricto exists in North America and Eurasia and until 2016 was the only known cause of Lyme disease in North America. Borrelia species are Gram-negative."
25,Brucella,"Brucella is a genus of Gram-negative bacteria, named after David Bruce (1855–1931). They are small (0.5 to 0.7 by 0.6 to 1.5 µm), nonencapsulated, nonmotile, facultatively intracellular coccobacilli.
Brucella spp. are the cause of brucellosis, which is a zoonosis transmitted by ingesting contaminated food (such as unpasteurized milk products), direct contact with an infected animal, or inhalation of aerosols. Transmission from human to human, for example, through sexual intercourse, or from mother to child, is exceedingly rare, but possible. Minimum infectious exposure is between 10 and 100 organisms.
The different species of Brucella are genetically very similar, although each has a slightly different host specificity. Hence, the National Center for Biotechnology Information taxonomy includes most Brucella species under B. melitensis.
The many names of brucellosis include (human disease/animal disease):

Malta fever/Bang's disease
Undulant fever/enzootic abortion
Mediterranean fever/epizootic abortion
Rock fever of Gibraltar/slinking of calves
Gastric fever/ram epididymitis
Contagious abortion/spontaneous abortion"
26,Brucella abortus,"Brucella abortus is a Gram-negative alpha-proteobacterium in the family Brucellaceae and is one of the causative agents of brucellosis. The rod-shaped pathogen is classified under the domain Bacteria. The prokaryotic B. abortus is non-spore-forming, non-motile and aerobic."
27,Brucella melitensis,"Brucella melitensis is a Gram-negative coccobacillus bacterium from the Brucellaceae family. The bacterium causes ovine brucellosis, along with Brucella ovis. It affects primarily sheep and goats, but cases have also been observed in cattle, yaks, water buffalo, Bactrian and dromedary camels,  alpacas, dogs, horses and pigs. Humans can become infected if they have contact with an infected animal or its byproducts. Animals acquire B. melitensis by venereal transmission and contact with the placenta, fetus, fetal fluids, and vaginal discharges from infected animals. The organism is found in blood, urine, milk, and semen.  It is zoonotic, unlike B. ovis, causing Malta fever or localized brucellosis in humans."
28,Brucella suis,"Brucella suis is a bacterium that causes swine brucellosis, a zoonosis that affects pigs. The disease typically causes chronic inflammatory lesions in the reproductive organs of susceptible animals or orchitis, and may even affect joints and other organs. The most common symptom is abortion in pregnant susceptible sows at any stage of gestation. Other manifestations are temporary or permanent sterility, lameness, posterior paralysis, spondylitis, and abscess formation.  It is transmitted mainly by ingestion of infected tissues or fluids, semen during breeding, and suckling infected animals.Since brucellosis threatens the food supply and causes undulant fever, Brucella suis and other Brucella species (B. melitensis, B. abortis, B. ovis, B. canis) are recognized as potential agricultural, civilian, and military bioterrorism agents."
29,Burkholderia,"Burkholderia is a genus of Proteobacteria whose pathogenic members include the Burkholderia cepacia complex, which attacks humans and Burkholderia mallei, responsible for glanders, a disease that occurs mostly in horses and related animals; Burkholderia pseudomallei, causative agent of melioidosis; and Burkholderia cepacia, an important pathogen of pulmonary infections in people with cystic fibrosis (CF). Burkholderia species is also found marine environment. S.I. Paul et al. (2021) isolated and characterized Burkholderia cepacia from marine sponges of the Saint Martin's Island of the Bay of Bengal, Bangladesh.The Burkholderia (previously part of Pseudomonas) genus name refers to a group of virtually ubiquitous Gram-negative, obligately aerobic, rod-shaped bacteria that are motile by means of single or multiple polar flagella, with the exception of Burkholderia mallei, which is nonmotile. Members belonging to the genus do not produce sheaths or prosthecae and are able to use poly-beta-hydroxybutyrate (PHB) for growth. The genus includes both animal and plant pathogens, as well as some environmentally important species. In particular, B. xenovorans (previously named Pseudomonas cepacia then B. cepacia and B. fungorum) is renowned for being catalase positive (affecting patients with chronic granulomatous disease) and its ability to degrade chlororganic pesticides and polychlorinated biphenyls. The conserved RNA structure anti-hemB RNA motif is found in all known bacteria in this genus.Due to their antibiotic resistance and the high mortality rate from their associated diseases, B. mallei and B. pseudomallei are considered to be potential biological warfare agents, targeting livestock and humans."
30,Burkholderia mallei,"Burkholderia mallei is a Gram-negative, bipolar, aerobic bacterium, a human and animal pathogen of genus Burkholderia causing glanders; the Latin name of this disease (malleus) gave its name to the species causing it. It is closely related to B. pseudomallei, and by multilocus sequence typing it is a subspecies of B. pseudomallei. B. mallei evolved from B. pseudomallei by selective reduction and deletions from the B. pseudomallei genome.  Unlike B. pseudomallei and other genus members, B. mallei is nonmotile; its shape is coccobacillary measuring some 1.5–3.0 μm in length and 0.5–1.0 μm in diameter with rounded ends."
31,Burkholderia pseudomallei,"Burkholderia pseudomallei (also known as Pseudomonas pseudomallei) is a Gram-negative, bipolar, aerobic, motile rod-shaped bacterium. It is a soil-dwelling bacterium endemic in tropical and subtropical regions worldwide, particularly in Thailand and northern Australia. Recently, there has been an expansion of the affected regions due to significant natural disasters and it can now be found in Southern China, Hong Kong, and countries in America. Although it is mainly a soil-dwelling bacteria, a study performed by Apinya Pumpuang and others showed that Burkholderia pseudomallei survived in distilled water for 16 years, demonstrating that it is capable of living in water if a specific environment is provided. It is resistant to variety of harsh conditions including nutrient deficiency, extreme temperature or PH scale. It infects humans and other animals most commonly livestock such as goats, pigs, and sheep. It happens less frequently in other animals, but is possible for them to get infected and causes the disease melioidosis. It is also capable of infecting plants in a labatory setting.Burkholderia pseudomallei measures 2–5 μm in length and 0.4–0.8 μm in diameter and is capable of self-propulsion using flagellum.  The bacteria can grow in a number of artificial nutrient environments, especially betaine-  and arginine-containing ones.
In vitro, optimal proliferation temperature is reported around 40 °C in neutral or slightly acidic environments (pH  6.8–7.0). The majority of strains are capable of oxidation, not fermentation, of sugars without gas formation (most importantly, glucose and galactose; older cultures are reported to also metabolize maltose and starch). Bacteria produce both exo- and  endotoxins.  The role of the toxins identified in the process of melioidosis symptom development has not been fully elucidated."
32,Campylobacter,"Campylobacter (meaning ""curved bacteria"") is a genus of Gram-negative bacteria. Campylobacter typically appear comma- or s-shaped, and are motile. Some Campylobacter species can infect humans, sometimes causing campylobacteriosis, a diarrhoeal disease in humans. Campylobacteriosis is usually self-limiting and antimicrobial treatment is often not required, except in severe cases or immunocompromised patients. The most known source for Campylobacter is poultry, but due to their diverse natural reservoir, Campylobacter spp. can also be transmitted via water. Other known sources of Campylobacter infections include food products, such as unpasteurised milk and contaminated fresh produce. Sometimes the source of infection can be direct contact with infected animals, which often carry Campylobacter asymptomatically. At least a dozen species of Campylobacter have been implicated in human disease, with C. jejuni (80–90%) and C. coli (5-10%) being the most common. C. jejuni is recognized as one of the main causes of bacterial foodborne disease in many developed countries. It is the number one cause of bacterial gastroentritis in Europe, with over 246,000 cases confirmed annually. C. jejuni infection can also cause bacteremia in immunocompromised individuals, while C. lari is a known cause of recurrent diarrhea in children. C. fetus can cause spontaneous abortions in cattle and sheep, and is  an opportunistic pathogen in humans."
33,Campylobacter coli,"Campylobacter coli is a Gram-negative, microaerophilic, non-endospore-forming, S-shaped bacterial species within genus Campylobacter. In humans, it C. coli can cause campylobacteriosis, a diarrhoeal disease which is the most frequently reported foodborne illness in the European Union. C. coli grows slowly with an optimum temperature of 42 °C. When exposed to air for long periods, they become spherical or coccoid shaped."
34,Campylobacter fetus,"Campylobacter fetus is a rod-shaped, gram-negative species of bacteria within the genus Campylobacter of phylum Proteobacteria. Identification of C. fetus species in infected animals or people is routinely performed by culture on blood or cefoperazone deoxycholate agar. Subspecies of C. fetus commonly causes reproductive disease in ruminants and gastrointestinal disease in humans. Transmission of C. fetus subspecies venerealis occurs mainly through venereal contact while transmission of C. fetus subspecies fetus occurs mainly through ingestion of bacteria in a contaminated environment. Infertility in cattle and abortion in sheep are common outcomes of infection associated with C. fetus subspecies venerealis and C. fetus subspecies fetus, respectively. Disease in humans occurs through zoonotic transmission of C. fetus mainly via ingestion of contaminated food or water sources. C. fetus can be diagnosed with polymerase chain reaction assays, enzyme linked immunosorbent assays and vaginal mucus agglutination testing. As vaccines are typically not efficient in preventing future spread, infected bulls are often culled. Human infections may be treated with erythromycin as antimicrobial resistance has been emerging for the fluoroquinolones."
35,Campylobacter jejuni,"Campylobacter jejuni () is one of the most common causes of food poisoning in Europe and in the US. The vast majority of cases occur as isolated events, not as part of recognized outbreaks. Active surveillance through the Foodborne Diseases Active Surveillance Network (FoodNet) indicates that about 20 cases are diagnosed each year for each 100,000 people in the US, while many more cases are undiagnosed or unreported; the CDC estimates a total of 1.5 million infections every year. The European Food Safety Authority reported 246,571 cases in 2018, and estimated approximately nine million cases of human campylobacteriosis per year in the European Union.Campylobacter jejuni is in a genus of bacteria that is among the most common causes of bacterial infections in humans worldwide. Campylobacter means ""curved rod"", deriving from the Greek kampylos (curved) and baktron (rod). Of its many species, C. jejuni is considered one of the most important from both a microbiological and public health perspective.C. jejuni is commonly associated with poultry, and is also commonly found in animal feces. Campylobacter is a helical-shaped, non-spore-forming, Gram-negative, microaerophilic, nonfermenting motile bacterium with a single flagellum at one or both poles, which are also oxidase-positive and grow optimally at 37 to 42 °C. When exposed to atmospheric oxygen, C. jejuni is able to change into a coccal form. This species of pathogenic bacteria is one of the most common causes of human gastroenteritis in the world. Food poisoning caused by Campylobacter species can be severely debilitating, but is rarely life-threatening. It has been linked with subsequent development of Guillain–Barré syndrome, which usually develops two to three weeks after the initial illness. Individuals with recent C. jejuni infections develop Guillain-Barré syndrome at a rate of 0.3 per 1000 infections, about 100 times more often than the general population. Another chronic condition that may be associated with Campylobacter infection is reactive arthritis. Reactive arthritis is a complication strongly associated with a particular genetic make-up. That is, persons who have the human leukocyte antigen B27 (HLA-B27) are most susceptible. Most often, the symptoms of reactive arthritis will occur up to several weeks after infection."
